 Solaris , Stanislaw Lem
 Bebo’s Girl , Carlo Cassola
 Cat and Mouse , Günter Grass
 The Prime of Miss Jean Brodie , Muriel Spark
 Halftime , Martin Walser
 Catch-22 , Joseph Heller
 The Magician of Lublin , Isaac Bashevis Singer
 The Violent Bear it Away , Flannery O’Connor
 How It Is , Samuel Beckett
 Our Ancestors , Italo Calvino
 The Country Girls , Edna O’Brien
 To Kill a Mockingbird , Harper Lee
" Rabbit, Run ", John Updike
 Promise at Dawn , Romain Gary
 Cider With Rosie , Laurie Lee
 Billy Liar , Keith Waterhouse
 Down Second Avenue , Ezekiel Mphahlele
 Naked Lunch , William Burroughs
 The Tin Drum , Günter Grass
 Absolute Beginners , Colin MacInnes
 Henderson the Rain King , Saul Bellow
 Deep Rivers , Jose Maria Arguedas
 Memento Mori , Muriel Spark
 Billiards at Half-Past Nine , Heinrich Böll
 The Guide , RKNarayan
 Breakfast at Tiffany’s , Truman Capote
 The Leopard , Giuseppe Tomasi di Lampedusa
 Pluck the Bud and Destroy the Offspring , Kenzaburo Oe
 A Town Like Alice , Nevil Shute
" Gabriela, Clove and Cinnamon ", Jorge Amado
 The Bitter Glass , Eilís Dillon
 Things Fall Apart , Chinua Achebe
 Saturday Night and Sunday Morning , Alan Sillitoe
 Mrs, ‘Arris Goes to Paris  Paul Gallico
 The Birds , Tarjei Vesaas
 Borstal Boy , Brendan Behan
 The End of the Road , John Barth
 The Once and Future King , TH White
 The Bell , Iris Murdoch
 Jealousy , Alain Robbe-Grillet
 Voss , Patrick White
 The Deadbeats , Ward Ruyslinck
 The Midwich Cuckoos , John Wyndham
 The Manila Rope , Veijo Meri
 Blue Noon , Georges Bataille
 Homo Faber , Max Frisch
 On the Road , Jack Kerouac
 Pnin , Vladimir Nabokov
 The Glass Bees , Ernst Junger
 Doctor Zhivago , Boris Pasternak
 The Wonderful “O” , James Thurber
 Justine , Lawrence Durrell
 Giovanni’s Room , James Baldwin
 The Lonely Londoners , Sam Selvon
 The Roots of Heaven , Romain Gary
 Seize the Day , Saul Bellow
 The Floating Opera , John Barth
 The Lord of the Rings , JRR
 The Devil to Pay in the Backlands , Joao Guimaraes Rosa
 The Talented Mr, Ripley  Patricia Highsmith
 Lolita , Vladimir Nabokov
 The Tree of Man , Patrick White
 A World of Love , Elizabeth Bowen
 The Trusting and the Maimed , James Plunkett
 The Quiet American , Graham Greene
 The Burning Plain , Juan Rulfo
 The Last Temptation of Christ , Nikos Kazantzákis
 The Recognitions , William Gaddis
 The Ragazzi , Pier Paulo Pasolini
 Bonjour Tristesse , Françoise Sagan
 The Unknown Soldier , Vaino Linna
 I’m Not Stiller , Max Frisch
 The Sound of Waves , Yukio Mishima
 Self Condemned , Wyndham Lewis
 Death in Rome , Wolfgang Koeppen
 The Story of O , Pauline Réage
 A Ghost at Noon , Alberto Moravia
 The Mandarins , Simone de Beauvoir
 Lord of the Flies , William Golding
 Under the Net , Iris Murdoch
 The Go-Between , LP Hartley
 The Long Goodbye , Raymond Chandler
 The Unnamable , Samuel Beckett
 A Day in Spring , Ciril Kosmac
 Watt , Samuel Beckett
 The Dark Child , Camara Laye
 Lucky Jim , Kingsley Amis
 Junkie , William Burroughs
 The Adventures of Augie March , Saul Bellow
 The Hothouse , Wolfgang Koeppen
 Go Tell It on the Mountain , James Baldwin
 The Lost Steps , Alejo Capentier
 Casino Royale , Ian Fleming
 The Judge and His Hangman , Friedrich Dürrenmatt
 Invisible Man , Ralph Ellison
 The Old Man and the Sea , Ernest Hemingway
 Wise Blood , Flannery O’Connor
 A Thousand Cranes , Yasunari Kawabata
 The Killer Inside Me , Jim Thompson
 Excellent Women , Barbara Pym
 Memoirs of Hadrian , Marguerite Yourcenar
 Malone Dies , Samuel Beckett
 The Day of the Triffids , John Wyndham
 Foundation , Isaac Asimov
 The Opposing Shore , Julien Gracq
 The Hive , Camilo Jose Cela
 The Catcher in the Rye , JD Salinger
 The Rebel , Albert Camus
